"year","month_name","month_number","country","max_emails_opened","total_customers","total_emails_sent_per_country"
"2020","July","7","Norway","139","1191","2571"
"2020","July","7","Pakistan","3","78","1993"
"2020","July","7","Palestinian Territory","48","162","1723"
"2020","July","7","Panama","441","1595","5117"
"2020","July","7","Papua New Guinea","10","667","823"
"2020","July","7","Peru","117","1217","581"
"2020","July","7","Philippines","122","368","2028"
"2020","July","7","Pitcairn Islands","312","2101","3648"
"2020","July","7","Poland","223","2292","1620"
"2020","July","7","Republic of Korea","126","1178","2589"
"2020","July","7","Romania","65","810","1062"
"2020","July","7","Russian Federation","419","1716","2566"
"2020","July","7","Rwanda","4","839","2364"
"2020","July","7","Saint Barthelemy","102","424","2228"
"2020","July","7","Saint Pierre and Miquelon","28","780","770"
"2020","July","7","San Marino","71","739","956"
"2020","July","7","Serbia","12","462","1277"
"2020","July","7","Seychelles","336","940","1892"
"2020","July","7","Singapore","3","38","1580"
"2020","July","7","Slovakia (Slovak Republic)","2","900","271"
"2020","July","7","South Africa","7","772","2447"
"2020","July","7","South Georgia and the South Sandwich Islands","70","487","375"
"2020","July","7","Sudan","1","283","1966"
"2020","July","7","Suriname","128","105","2119"
"2020","July","7","Svalbard & Jan Mayen Islands","77","974","437"
"2020","July","7","Swaziland","35","765","1000"
"2020","July","7","Switzerland","1","410","1438"
"2020","July","7","Taiwan","1","293","1054"
"2020","July","7","Tajikistan","19","874","1365"
"2020","July","7","Tanzania","101","2629","1232"
"2020","July","7","Timor-Leste","78","1410","801"
"2020","July","7","Togo","63","499","2232"
"2020","July","7","Tokelau","186","594","1757"
"2020","July","7","Tonga","33","18","556"
"2020","July","7","Trinidad and Tobago","47","1629","688"
"2020","July","7","Tunisia","109","737","2004"
"2020","July","7","Turkey","13","25","463"
"2020","July","7","Tuvalu","21","589","1642"
"2020","July","7","Uganda","64","254","2571"
"2020","July","7","Ukraine","88","782","1948"
"2020","July","7","United Arab Emirates","11","49","839"
"2020","July","7","United Kingdom","16","755","2107"
"2020","July","7","United States Minor Outlying Islands","11","171","1620"
"2020","July","7","United States of America","46","284","2366"
"2020","July","7","Uruguay","154","1126","1130"
"2020","July","7","Venezuela","14","328","1318"
"2020","July","7","Virgin Islands, British","92","245","1316"
"2020","July","7","Virgin Islands, U.S.","25","375","1181"
"2020","July","7","Wallis and Futuna","132","1621","2333"
"2020","July","7","Western Sahara","19","229","1052"
"2020","July","7","Yemen","14","1511","523"
"2020","July","7","Zambia","153","982","1442"
"2020","August","8","Afghanistan","1","508","381"
"2020","August","8","Algeria","9","237","2313"
"2020","August","8","American Samoa","500","1720","2483"
"2020","August","8","Angola","65","1353","1225"
"2020","August","8","Antigua and Barbuda","62","240","435"
"2020","August","8","Argentina","4","460","266"
"2020","August","8","Australia","71","2244","3042"
"2020","August","8","Austria","7","33","325"
"2020","August","8","Azerbaijan","17","884","292"
"2020","August","8","Bahamas","159","1631","1398"
"2020","August","8","Bangladesh","167","1471","3904"
"2020","August","8","Belize","1","924","2343"
"2020","August","8","Benin","76","1741","481"
"2020","August","8","Bermuda","20","76","1142"
"2020","August","8","Bhutan","43","113","1076"
"2020","August","8","Bolivia","14","572","772"
"2020","August","8","Botswana","24","90","1313"
"2020","August","8","Bouvet Island (Bouvetoya)","108","491","623"
"2020","August","8","British Indian Ocean Territory (Chagos Archipelago)","58","1303","1161"
"2020","August","8","Brunei Darussalam","219","1604","2273"
"2020","August","8","Bulgaria","3","709","1075"
"2020","August","8","Burundi","163","1540","2729"
"2020","August","8","Cambodia","60","531","1839"
"2020","August","8","Cameroon","97","585","1532"
"2020","August","8","Canada","131","414","1122"
"2020","August","8","Cayman Islands","162","899","607"
"2020","August","8","Chile","37","383","354"
"2020","August","8","China","24","588","183"
"2020","August","8","Christmas Island","82","969","3921"
"2020","August","8","Cocos (Keeling) Islands","14","827","1582"
"2020","August","8","Colombia","25","291","1108"
"2020","August","8","Comoros","216","1146","1219"
"2020","August","8","Congo","29","750","1105"
"2020","August","8","Cook Islands","36","836","977"
"2020","August","8","Cote d'Ivoire","25","973","1013"
"2020","August","8","Cyprus","187","411","1258"
"2020","August","8","Czech Republic","155","469","1630"
"2020","August","8","Denmark","186","1799","1836"
"2020","August","8","Djibouti","25","715","1551"
"2020","August","8","Dominica","48","854","2223"
"2020","August","8","Ecuador","53","824","3083"
"2020","August","8","Equatorial Guinea","95","1561","900"
"2020","August","8","Eritrea","47","2038","1791"
"2020","August","8","Estonia","147","551","1903"
"2020","August","8","Ethiopia","85","433","545"
"2020","August","8","Falkland Islands (Malvinas)","109","1064","1165"
"2020","August","8","Faroe Islands","110","851","716"
"2020","August","8","Finland","73","880","1319"
"2020","August","8","French Guiana","500","427","2095"
"2020","August","8","French Polynesia","75","932","2604"
"2020","August","8","Gabon","38","961","2478"
"2020","August","8","Gambia","21","408","1560"
"2020","August","8","Georgia","29","684","1617"
"2020","August","8","Greece","319","1707","2173"
"2020","August","8","Greenland","42","83","789"
"2020","August","8","Guadeloupe","112","964","2552"
"2020","August","8","Guatemala","65","2085","3087"
"2020","August","8","Guinea","73","556","509"
"2020","August","8","Guyana","24","446","1531"
"2020","August","8","Hungary","108","492","1878"
"2020","August","8","Iceland","44","751","2015"
"2020","August","8","Indonesia","32","519","665"
"2020","August","8","Iran","109","283","1636"
"2020","August","8","Iraq","53","255","364"
"2020","August","8","Ireland","157","1089","1846"
"2020","August","8","Isle of Man","180","1001","1830"
"2020","August","8","Israel","98","1101","3052"
"2020","August","8","Jamaica","58","2079","1874"
"2020","August","8","Kazakhstan","46","285","380"
"2020","August","8","Kyrgyz Republic","15","41","906"
"2020","August","8","Latvia","33","62","138"
"2020","August","8","Lebanon","10","883","462"
"2020","August","8","Lesotho","158","631","651"
"2020","August","8","Liberia","33","2072","1378"
"2020","August","8","Libyan Arab Jamahiriya","251","1282","1993"
"2020","August","8","Liechtenstein","108","1022","841"
"2020","August","8","Lithuania","88","46","1918"
"2020","August","8","Macedonia","27","485","1195"
"2020","August","8","Madagascar","1","733","716"
"2020","August","8","Malawi","135","1946","2198"
"2020","August","8","Malaysia","57","219","588"
"2020","August","8","Mali","1","11","672"
"2020","August","8","Marshall Islands","100","1083","482"
"2020","August","8","Martinique","27","1273","756"
"2020","August","8","Mauritania","70","252","1304"
"2020","August","8","Mauritius","56","1436","841"
"2020","August","8","Micronesia","59","1194","1833"
"2020","August","8","Mongolia","152","1052","1904"
"2020","August","8","Montenegro","18","380","2071"
"2020","August","8","Montserrat","177","1656","578"
"2020","August","8","Morocco","22","532","299"
"2020","August","8","Myanmar","330","1409","729"
"2020","August","8","Namibia","5","929","657"
"2020","August","8","Nauru","12","822","584"
"2020","August","8","Netherlands","13","741","2093"
"2020","August","8","Netherlands Antilles","69","1271","2346"
"2020","August","8","New Zealand","25","1511","2430"
"2020","August","8","Nigeria","48","2118","990"
"2020","August","8","Northern Mariana Islands","104","727","1655"
"2020","August","8","Norway","414","720","2571"
"2020","August","8","Pakistan","140","1007","1993"
"2020","August","8","Palestinian Territory","41","162","1723"
"2020","August","8","Panama","160","77","5117"
"2020","August","8","Papua New Guinea","17","618","823"
"2020","August","8","Paraguay","181","921","2028"
"2020","August","8","Peru","33","523","581"
"2020","August","8","Philippines","55","790","2028"
"2020","August","8","Pitcairn Islands","25","921","3648"
"2020","August","8","Poland","94","840","1620"
"2020","August","8","Portugal","6","91","398"
"2020","August","8","Republic of Korea","159","1569","2589"
"2020","August","8","Romania","232","714","1062"
"2020","August","8","Russian Federation","54","1078","2566"
"2020","August","8","Rwanda","247","2025","2364"
"2020","August","8","Saint Barthelemy","1","801","2228"
"2020","August","8","Saint Helena","59","834","721"
"2020","August","8","Saint Lucia","2","713","33"
"2020","August","8","Saint Pierre and Miquelon","94","897","770"
"2020","August","8","Saint Vincent and the Grenadines","500","848","1449"
"2020","August","8","Sao Tome and Principe","17","500","1049"
"2020","August","8","Saudi Arabia","19","430","534"
"2020","August","8","Serbia","206","391","1277"
"2020","August","8","Seychelles","78","864","1892"
"2020","August","8","Singapore","78","193","1580"
"2020","August","8","Slovakia (Slovak Republic)","48","900","271"
"2020","August","8","Somalia","31","835","1109"
"2020","August","8","South Africa","7","772","2447"
"2020","August","8","Spain","430","555","831"
"2020","August","8","Sri Lanka","10","603","949"
"2020","August","8","Sudan","3","283","1966"
"2020","August","8","Suriname","67","389","2119"
"2020","August","8","Swaziland","18","395","1000"
"2020","August","8","Switzerland","106","471","1438"
"2020","August","8","Syrian Arab Republic","500","2105","2726"
"2020","August","8","Taiwan","80","366","1054"
"2020","August","8","Timor-Leste","18","928","801"
"2020","August","8","Togo","34","1253","2232"
"2020","August","8","Tokelau","133","938","1757"
"2020","August","8","Tonga","7","503","556"
"2020","August","8","Trinidad and Tobago","51","193","688"
"2020","August","8","Turkey","7","909","463"
"2020","August","8","Turkmenistan","42","533","637"
"2020","August","8","Turks and Caicos Islands","9","305","659"
"2020","August","8","Tuvalu","28","1164","1642"
"2020","August","8","Uganda","408","254","2571"
"2020","August","8","Ukraine","110","740","1948"
"2020","August","8","United Kingdom","18","635","2107"
"2020","August","8","United States Minor Outlying Islands","300","771","1620"
"2020","August","8","United States of America","95","685","2366"
"2020","August","8","Vanuatu","4","177","928"
"2020","August","8","Venezuela","163","30","1318"
"2020","August","8","Vietnam","120","57","1469"
"2020","August","8","Virgin Islands, U.S.","29","256","1181"
"2020","August","8","Wallis and Futuna","10","855","2333"
"2020","September","9","American Samoa","73","181","2483"
"2020","September","9","Aruba","14","578","2267"
"2020","September","9","Australia","347","749","3042"
"2020","September","9","Belize","6","329","2343"
"2020","September","9","Bermuda","39","76","1142"
"2020","September","9","Bolivia","71","440","772"
"2020","September","9","British Indian Ocean Territory (Chagos Archipelago)","30","328","1161"
"2020","September","9","Cameroon","6","154","1532"
"2020","September","9","Congo","29","750","1105"
"2020","September","9","Cote d'Ivoire","107","564","1013"
"2020","September","9","Democratic People's Republic of Korea","11","641","925"
"2020","September","9","Dominica","141","211","2223"
"2020","September","9","Estonia","23","701","1903"
"2020","September","9","Ghana","23","209","918"
"2020","September","9","Guadeloupe","500","954","2552"
"2020","September","9","Guatemala","1","940","3087"
"2020","September","9","Guyana","173","446","1531"
"2020","September","9","Iceland","9","751","2015"
"2020","September","9","Ireland","196","356","1846"
"2020","September","9","Isle of Man","41","941","1830"
"2020","September","9","Israel","20","643","3052"
"2020","September","9","Liberia","6","475","1378"
"2020","September","9","Liechtenstein","89","355","841"
"2020","September","9","Montserrat","10","798","578"
"2020","September","9","New Zealand","13","316","2430"
"2020","September","9","Nigeria","26","911","990"
"2020","September","9","Norway","31","806","2571"
"2020","September","9","Pakistan","35","78","1993"
"2020","September","9","Palau","154","1415","1162"
"2020","September","9","Philippines","67","153","2028"
"2020","September","9","Poland","45","210","1620"
"2020","September","9","Puerto Rico","105","565","325"
"2020","September","9","Romania","9","644","1062"
"2020","September","9","Saint Kitts and Nevis","148","87","1206"
"2020","September","9","South Africa","119","437","2447"
"2020","September","9","Sri Lanka","17","544","949"
"2020","September","9","Sudan","20","439","1966"
"2020","September","9","Suriname","28","250","2119"
"2020","September","9","Switzerland","14","88","1438"
"2020","September","9","Tajikistan","4","799","1365"
"2020","September","9","Togo","185","590","2232"
"2020","September","9","Tunisia","44","129","2004"
"2020","September","9","Ukraine","117","327","1948"
"2020","September","9","United States Minor Outlying Islands","4","286","1620"
"2020","September","9","Wallis and Futuna","72","805","2333"
"2020","October","10","Bolivia","4","558","772"
"2020","October","10","Brunei Darussalam","239","567","2273"
"2020","October","10","Cameroon","1","367","1532"
"2020","October","10","Eritrea","226","791","1791"
"2020","October","10","Honduras","72","185","591"
"2020","October","10","Italy","43","372","698"
"2020","October","10","Mozambique","1","812","93"
"2020","October","10","Sri Lanka","204","200","949"
"2020","October","10","Tunisia","13","182","2004"
"2020","October","10","Wallis and Futuna","27","545","2333"
"2020","October","10","Zimbabwe","51","561","2916"
"2020","November","11","Albania","12","2748","1019"
"2020","November","11","Algeria","93","2280","2313"
"2020","November","11","American Samoa","477","1786","2483"
"2020","November","11","Andorra","250","886","394"
"2020","November","11","Angola","178","1823","1225"
"2020","November","11","Antarctica (the territory South of 60 deg S)","42","125","384"
"2020","November","11","Antigua and Barbuda","50","955","435"
"2020","November","11","Argentina","70","460","266"
"2020","November","11","Armenia","24","1230","1177"
"2020","November","11","Aruba","297","805","2267"
"2020","November","11","Australia","75","1569","3042"
"2020","November","11","Austria","4","33","325"
"2020","November","11","Azerbaijan","69","1399","292"
"2020","November","11","Bahamas","10","1287","1398"
"2020","November","11","Bahrain","152","611","632"
"2020","November","11","Bangladesh","228","2774","3904"
"2020","November","11","Barbados","400","332","1518"
"2020","November","11","Belize","275","1684","2343"
"2020","November","11","Benin","8","1741","481"
"2020","November","11","Bermuda","171","667","1142"
"2020","November","11","Bhutan","59","1160","1076"
"2020","November","11","Bolivia","175","998","772"
"2020","November","11","Bouvet Island (Bouvetoya)","10","491","623"
"2020","November","11","Brazil","22","1651","1281"
"2020","November","11","British Indian Ocean Territory (Chagos Archipelago)","5","1303","1161"
"2020","November","11","Brunei Darussalam","66","5925","2273"
"2020","November","11","Bulgaria","292","235","1075"
"2020","November","11","Burkina Faso","136","222","958"
"2020","November","11","Burundi","355","549","2729"
"2020","November","11","Cambodia","229","843","1839"
"2020","November","11","Cameroon","71","891","1532"
"2020","November","11","Canada","68","566","1122"
"2020","November","11","Cape Verde","198","251","1376"
"2020","November","11","Cayman Islands","46","1317","607"
"2020","November","11","Chad","44","1175","1277"
"2020","November","11","China","66","925","183"
"2020","November","11","Christmas Island","500","1418","3921"
"2020","November","11","Cocos (Keeling) Islands","25","1988","1582"
"2020","November","11","Colombia","55","1018","1108"
"2020","November","11","Comoros","142","2361","1219"
"2020","November","11","Congo","52","1553","1105"
"2020","November","11","Cook Islands","14","1113","977"
"2020","November","11","Cote d'Ivoire","126","1917","1013"
"2020","November","11","Croatia","126","197","775"
"2020","November","11","Cuba","367","1289","2350"
"2020","November","11","Cyprus","450","1145","1258"
"2020","November","11","Czech Republic","62","2247","1630"
"2020","November","11","Democratic People's Republic of Korea","143","157","925"
"2020","November","11","Denmark","81","1075","1836"
"2020","November","11","Djibouti","7","277","1551"
"2020","November","11","Dominica","16","1065","2223"
"2020","November","11","Ecuador","164","2075","3083"
"2020","November","11","Egypt","4","156","63"
"2020","November","11","El Salvador","218","993","312"
"2020","November","11","Equatorial Guinea","133","1484","900"
"2020","November","11","Eritrea","107","2361","1791"
"2020","November","11","Estonia","51","2843","1903"
"2020","November","11","Ethiopia","14","301","545"
"2020","November","11","Falkland Islands (Malvinas)","13","2281","1165"
"2020","November","11","Faroe Islands","132","1001","716"
"2020","November","11","Finland","161","1747","1319"
"2020","November","11","France","101","2698","1051"
"2020","November","11","French Guiana","76","474","2095"
"2020","November","11","French Polynesia","155","2110","2604"
"2020","November","11","French Southern Territories","56","611","1137"
"2020","November","11","Gabon","46","835","2478"
"2020","November","11","Gambia","51","2237","1560"
"2020","November","11","Georgia","27","1580","1617"
"2020","November","11","Germany","24","1736","585"
"2020","November","11","Ghana","22","856","918"
"2020","November","11","Greece","441","1058","2173"
"2020","November","11","Greenland","77","778","789"
"2020","November","11","Grenada","55","964","1781"
"2020","November","11","Guadeloupe","88","1685","2552"
"2020","November","11","Guam","500","2048","1906"
"2020","November","11","Guatemala","124","2883","3087"
"2020","November","11","Guernsey","121","709","1428"
"2020","November","11","Guinea","35","1473","509"
"2020","November","11","Guinea-Bissau","19","325","126"
"2020","November","11","Guyana","237","1068","1531"
"2020","November","11","Haiti","73","741","1453"
"2020","November","11","Heard Island and McDonald Islands","22","169","346"
"2020","November","11","Holy See (Vatican City State)","119","653","1266"
"2020","November","11","Honduras","26","185","591"
"2020","November","11","Hong Kong","19","918","1350"
"2020","November","11","Hungary","1","199","1878"
"2020","November","11","Iceland","272","226","2015"
"2020","November","11","India","132","584","966"
"2020","November","11","Indonesia","12","1425","665"
"2020","November","11","Iran","108","436","1636"
"2020","November","11","Iraq","76","1212","364"
"2020","November","11","Ireland","51","1440","1846"
"2020","November","11","Isle of Man","127","3304","1830"
"2020","November","11","Israel","500","3269","3052"
"2020","November","11","Italy","73","453","698"
"2020","November","11","Jamaica","31","1776","1874"
"2020","November","11","Japan","88","754","299"
"2020","November","11","Jersey","91","1048","1330"
"2020","November","11","Jordan","61","1453","1158"
"2020","November","11","Kenya","52","842","1270"
"2020","November","11","Kiribati","34","753","1764"
"2020","November","11","Kuwait","15","1217","228"
"2020","November","11","Kyrgyz Republic","229","1001","906"
"2020","November","11","Liberia","67","2044","1378"
"2020","November","11","Libyan Arab Jamahiriya","80","808","1993"
"2020","November","11","Liechtenstein","65","1224","841"
"2020","November","11","Lithuania","152","1219","1918"
"2020","November","11","Macao","22","977","277"
"2020","November","11","Macedonia","107","1878","1195"
"2020","November","11","Madagascar","300","1339","716"
"2020","November","11","Malawi","67","1020","2198"
"2020","November","11","Maldives","265","520","363"
"2020","November","11","Mali","13","294","672"
"2020","November","11","Malta","261","346","720"
"2020","November","11","Marshall Islands","127","569","482"
"2020","November","11","Martinique","55","324","756"
"2020","November","11","Mauritania","129","710","1304"
"2020","November","11","Mauritius","24","1004","841"
"2020","November","11","Mayotte","1","311","430"
"2020","November","11","Mexico","107","1169","782"
"2020","November","11","Micronesia","29","2159","1833"
"2020","November","11","Monaco","4","890","876"
"2020","November","11","Mongolia","166","1414","1904"
"2020","November","11","Montenegro","119","1645","2071"
"2020","November","11","Montserrat","43","665","578"
"2020","November","11","Mozambique","20","812","93"
"2020","November","11","Myanmar","89","2192","729"
"2020","November","11","Namibia","33","1410","657"
"2020","November","11","Nauru","65","1388","584"
"2020","November","11","Nepal","13","168","199"
"2020","November","11","Netherlands","223","2886","2093"
"2020","November","11","Netherlands Antilles","195","1496","2346"
"2020","November","11","New Zealand","219","1306","2430"
"2020","November","11","Nicaragua","44","375","999"
"2020","November","11","Niger","94","270","1432"
"2020","November","11","Nigeria","50","763","990"
"2020","November","11","Niue","43","216","982"
"2020","November","11","Norfolk Island","500","2189","3395"
"2020","November","11","Northern Mariana Islands","131","1301","1655"
"2020","November","11","Norway","86","2156","2571"
"2020","November","11","Oman","51","530","817"
"2020","November","11","Pakistan","132","1059","1993"
"2020","November","11","Palau","98","86","1162"
"2020","November","11","Palestinian Territory","41","985","1723"
"2020","November","11","Panama","126","1322","5117"
"2020","November","11","Paraguay","257","1046","2028"
"2020","November","11","Peru","18","24","581"
"2020","November","11","Philippines","310","1637","2028"
"2020","November","11","Pitcairn Islands","388","1477","3648"
"2020","November","11","Poland","36","934","1620"
"2020","November","11","Portugal","117","3","398"
"2020","November","11","Puerto Rico","10","1357","325"
"2020","November","11","Republic of Korea","28","765","2589"
"2020","November","11","Reunion","144","574","239"
"2020","November","11","Romania","228","1461","1062"
"2020","November","11","Russian Federation","170","1058","2566"
"2020","November","11","Rwanda","500","2453","2364"
"2020","November","11","Saint Barthelemy","121","1007","2228"
"2020","November","11","Saint Kitts and Nevis","88","1378","1206"
"2020","November","11","Saint Martin","166","421","366"
"2020","November","11","Saint Pierre and Miquelon","18","413","770"
"2020","November","11","Saint Vincent and the Grenadines","500","1214","1449"
"2020","November","11","San Marino","68","2342","956"
"2020","November","11","Sao Tome and Principe","322","1492","1049"
"2020","November","11","Saudi Arabia","297","1037","534"
"2020","November","11","Senegal","48","621","1145"
"2020","November","11","Serbia","430","853","1277"
"2020","November","11","Seychelles","81","1896","1892"
"2020","November","11","Sierra Leone","92","555","1427"
"2020","November","11","Singapore","43","962","1580"
"2020","November","11","Slovenia","141","595","608"
"2020","November","11","Solomon Islands","17","571","210"
"2020","November","11","Somalia","209","1745","1109"
"2020","November","11","South Africa","147","2808","2447"
"2020","November","11","South Georgia and the South Sandwich Islands","49","1700","375"
"2020","November","11","Spain","19","995","831"
"2020","November","11","Sri Lanka","26","1337","949"
"2020","November","11","Sudan","169","780","1966"
"2020","November","11","Suriname","14","250","2119"
"2020","November","11","Svalbard & Jan Mayen Islands","17","257","437"
"2020","November","11","Swaziland","189","2157","1000"
"2020","November","11","Sweden","36","528","136"
"2020","November","11","Switzerland","49","149","1438"
"2020","November","11","Syrian Arab Republic","44","2599","2726"
"2020","November","11","Taiwan","388","1279","1054"
"2020","November","11","Tajikistan","215","1974","1365"
"2020","November","11","Tanzania","94","986","1232"
"2020","November","11","Timor-Leste","120","928","801"
"2020","November","11","Togo","455","1867","2232"
"2020","November","11","Tokelau","450","1192","1757"
"2020","November","11","Tonga","14","331","556"
"2020","November","11","Trinidad and Tobago","211","1406","688"
"2020","November","11","Tunisia","183","973","2004"
"2020","November","11","Turkey","31","1536","463"
"2020","November","11","Turkmenistan","21","512","637"
"2020","November","11","Turks and Caicos Islands","82","1050","659"
"2020","November","11","Tuvalu","25","94","1642"
"2020","November","11","Uganda","24","880","2571"
"2020","November","11","Ukraine","98","1385","1948"
"2020","November","11","United Arab Emirates","500","49","839"
"2020","November","11","United Kingdom","310","2665","2107"
"2020","November","11","United States Minor Outlying Islands","7","171","1620"
"2020","November","11","United States of America","500","1002","2366"
"2020","November","11","Uruguay","82","455","1130"
"2020","November","11","Uzbekistan","62","1519","414"
"2020","November","11","Vanuatu","13","177","928"
"2020","November","11","Venezuela","36","987","1318"
"2020","November","11","Vietnam","284","1714","1469"
"2020","November","11","Virgin Islands, British","76","2023","1316"
"2020","November","11","Virgin Islands, U.S.","500","256","1181"
"2020","November","11","Wallis and Futuna","161","3539","2333"
"2020","November","11","Yemen","110","896","523"
"2020","November","11","Zambia","1","130","1442"
"2020","November","11","Zimbabwe","291","2127","2916"
"2020","December","12","Afghanistan","130","1062","381"
"2020","December","12","Albania","302","2123","1019"
"2020","December","12","Algeria","500","1867","2313"
"2020","December","12","American Samoa","10","181","2483"
"2020","December","12","Angola","65","319","1225"
"2020","December","12","Anguilla","105","624","285"
"2020","December","12","Argentina","14","460","266"
"2020","December","12","Armenia","10","119","1177"
"2020","December","12","Aruba","29","511","2267"
"2020","December","12","Australia","500","2729","3042"
"2020","December","12","Azerbaijan","28","392","292"
"2020","December","12","Bahrain","30","1466","632"
"2020","December","12","Bangladesh","88","2299","3904"
"2020","December","12","Barbados","62","1661","1518"
"2020","December","12","Belarus","19","527","45"
"2020","December","12","Belize","224","2716","2343"
"2020","December","12","Benin","19","1741","481"
"2020","December","12","Bermuda","51","800","1142"
"2020","December","12","Bhutan","141","587","1076"
"2020","December","12","Bolivia","22","132","772"
"2020","December","12","Botswana","23","612","1313"
"2020","December","12","Bouvet Island (Bouvetoya)","129","491","623"
"2020","December","12","Brazil","84","981","1281"
"2020","December","12","British Indian Ocean Territory (Chagos Archipelago)","20","975","1161"
"2020","December","12","Brunei Darussalam","29","1845","2273"
"2020","December","12","Bulgaria","28","504","1075"
"2020","December","12","Burkina Faso","48","634","958"
